size,average,times,freq,site
49.49247706422019,12,10000,1,Yucatan
98.98495412844038,7,9996,0.9996000399960004,Yucatan
148.47743119266056,4,9803,0.9803019698030196,Yucatan
197.96990825688076,2,8687,0.8687131286871312,Yucatan
247.46238532110095,2,6662,0.6662333766623337,Yucatan
296.9548623853211,1,4438,0.44385561443855615,Yucatan
346.44733944954135,1,2779,0.277972202779722,Yucatan
395.9398165137615,1,1529,0.15298470152984703,Yucatan
445.4322935779817,1,809,0.08099190080991901,Yucatan
494.9247706422019,1,453,0.0453954604539546,Yucatan
544.4172477064221,1,234,0.023497650234976502,Yucatan
593.9097247706422,1,95,0.009599040095990401,Yucatan
643.4022018348625,1,46,0.0046995300469953,Yucatan
692.8946788990827,1,45,0.0045995400459954,Yucatan
742.3871559633028,1,21,0.0021997800219978004,Yucatan
791.879633027523,1,9,9.99900009999e-4,Yucatan
890.8645871559634,1,3,3.9996000399960006e-4,Yucatan
940.3570642201836,1,2,2.9997000299970003e-4,Yucatan
49.6868686868687,13,10000,1,Barbados
99.3737373737374,6,9988,0.9988001199880012,Barbados
149.0606060606061,3,9414,0.9414058594140586,Barbados
198.7474747474748,2,6887,0.6887311268873113,Barbados
248.4343434343435,1,3714,0.37146285371462856,Barbados
298.1212121212122,1,1813,0.18138186181381863,Barbados
347.8080808080809,1,786,0.0786921307869213,Barbados
397.4949494949496,1,326,0.0326967303269673,Barbados
447.1818181818183,1,129,0.012998700129987,Barbados
496.868686868687,1,54,0.005499450054994501,Barbados
546.5555555555557,1,21,0.0021997800219978004,Barbados
596.2424242424244,1,5,5.999400059994001e-4,Barbados
645.9292929292931,1,1,1.9998000199980003e-4,Barbados
695.6161616161618,1,1,1.9998000199980003e-4,Barbados
745.3030303030305,1,2,2.9997000299970003e-4,Barbados
49.73480662983425,12,10000,1,Belize
99.4696132596685,8,10000,1,Belize
149.20441988950276,6,9974,0.9974002599740026,Belize
198.939226519337,4,9861,0.9861013898610139,Belize
248.67403314917127,3,9357,0.9357064293570643,Belize
298.4088397790055,2,8479,0.8479152084791521,Belize
348.1436464088398,2,7148,0.7148285171482852,Belize
397.878453038674,1,5657,0.5657434256574343,Belize
447.61325966850825,1,4297,0.42975702429757023,Belize
497.34806629834253,1,3177,0.3177682231776822,Belize
547.0828729281768,1,2138,0.21387861213878612,Belize
596.817679558011,1,1505,0.15058494150584942,Belize
646.5524861878453,1,1054,0.10548945105489452,Belize
696.2872928176796,1,732,0.07329267073292671,Belize
746.0220994475138,1,489,0.048995100489951,Belize
795.756906077348,1,265,0.026597340265973404,Belize
845.4917127071823,1,209,0.020997900209979003,Belize
895.2265193370165,1,116,0.011698830116988301,Belize
944.9613259668508,1,76,0.007699230076992301,Belize
994.6961325966851,1,52,0.0052994700529947,Belize
1044.4309392265193,1,47,0.0047995200479952005,Belize
1094.1657458563536,1,29,0.0029997000299970002,Belize
1143.9005524861877,1,14,0.0014998500149985001,Belize
1193.635359116022,1,11,0.0011998800119988001,Belize
1243.3701657458564,1,6,6.999300069993001e-4,Belize
1293.1049723756905,1,2,2.9997000299970003e-4,Belize
1342.8397790055249,1,7,7.999200079992001e-4,Belize
1392.5745856353592,1,3,3.9996000399960006e-4,Belize
1442.3093922651933,1,4,4.999500049995e-4,Belize
49.87562189054726,8,9999,0.9999000099990001,Saint Croix
99.75124378109452,6,9982,0.9982001799820018,Saint Croix
149.62686567164178,5,9925,0.9925007499250075,Saint Croix
199.50248756218903,4,9800,0.98000199980002,Saint Croix
249.37810945273628,3,9481,0.9481051894810519,Saint Croix
299.25373134328356,2,8872,0.8872112788721128,Saint Croix
349.1293532338308,2,8267,0.8267173282671733,Saint Croix
399.00497512437806,2,7381,0.7381261873812619,Saint Croix
448.88059701492534,2,6443,0.6443355664433557,Saint Croix
498.75621890547256,1,5423,0.5423457654234577,Saint Croix
548.6318407960198,1,4387,0.43875612438756123,Saint Croix
598.5074626865671,1,3597,0.35976402359764026,Saint Croix
648.3830845771143,1,2896,0.2896710328967103,Saint Croix
698.2587064676616,1,2254,0.22547745225477453,Saint Croix
748.1343283582089,1,1744,0.17448255174482552,Saint Croix
798.0099502487561,1,1397,0.13978602139786023,Saint Croix
847.8855721393033,1,1042,0.10428957104289571,Saint Croix
897.7611940298507,1,798,0.07989201079892011,Saint Croix
947.6368159203979,1,596,0.059694030596940305,Saint Croix
997.5124378109451,1,457,0.045795420457954206,Saint Croix
1047.3880597014925,1,346,0.03469653034696531,Saint Croix
1097.2636815920396,1,292,0.0292970702929707,Saint Croix
1147.139303482587,1,179,0.017998200179982,Saint Croix
1197.0149253731342,1,153,0.015398460153984602,Saint Croix
1246.8905472636814,1,120,0.012098790120987902,Saint Croix
1296.7661691542287,1,80,0.008099190080991902,Saint Croix
1346.641791044776,1,52,0.0052994700529947,Saint Croix
1396.5174129353231,1,52,0.0052994700529947,Saint Croix
1446.3930348258705,1,33,0.0033996600339966003,Saint Croix
1496.2686567164178,1,28,0.0028997100289971,Saint Croix
1546.144278606965,1,21,0.0021997800219978004,Saint Croix
1596.0199004975123,1,11,0.0011998800119988001,Saint Croix
1645.8955223880596,1,9,9.99900009999e-4,Saint Croix
1695.7711442786067,1,5,5.999400059994001e-4,Saint Croix
1745.646766169154,1,4,4.999500049995e-4,Saint Croix
1795.5223880597014,1,4,4.999500049995e-4,Saint Croix
1845.3980099502485,1,3,3.9996000399960006e-4,Saint Croix
1895.2736318407958,1,2,2.9997000299970003e-4,Saint Croix
1945.1492537313432,1,2,2.9997000299970003e-4,Saint Croix
1995.0248756218903,1,1,1.9998000199980003e-4,Saint Croix
2044.9004975124376,1,1,1.9998000199980003e-4,Saint Croix
2094.776119402985,1,1,1.9998000199980003e-4,Saint Croix
2344.154228855721,1,1,1.9998000199980003e-4,Saint Croix
